tissue_number,POP,Latitude,Longitude,distance,mean_annual_temp_deg_C,mean_temp__warmest_month_deg_C,mean_temp_coldest_month_deg_C,difference_coldest_and_warmest_month_measure_continentality_deg_C,mean_annual_precip_mm,mean_summer_precip_mm,annual_heat_moisture_index,summer_heat_moisture_index,degree.days_above_5_deg_C,degree.days_below_18_deg_C,degree.days_above_18_deg_C,NFFD,extreme_min_temp_over_30_years,Hargreave_reference_evaporation,Hargreave_climatic_moisture_index,percent_pine,percent_oak,percent_other,elevation
F11-115,W-O,34.0129,-119.7808,1106.212678,17.8,21.7,14.2,7.5,518,15,53.7,1407.1,4739,563,464,365,5.2,926,600,0,0.569386621,0.430613379,238
F11-154,W-O,34.0106,-119.757,3320.784263,17.8,21.6,14.2,7.4,506,15,54.9,1429.9,4716,568,451,365,4.9,926,601,0,0.405380974,0.594619026,188
F11-156,W-O,34.0107,-119.7579,3233.568158,17.8,21.6,14.2,7.4,506,15,54.9,1428.9,4717,568,452,365,4.9,926,601,0,0.452719916,0.547280084,156
F09-111,W-O,34.0217,-119.8686,2230.747538,17.4,21.4,13.8,7.6,477,14,57.4,1516.1,4592,641,426,365,3.7,960,644,0,0.21441981,0.78558019,195
F09-033,W-O,34.0201,-119.8703,2300.234356,17.4,21.4,13.8,7.6,474,14,57.8,1528.9,4585,645,424,365,3.6,960,645,0,0.29564998,0.70435002,143
F09-036,W-O,34.0157,-119.856,893.4390761,17.5,21.6,14,7.6,488,14,56.4,1498.3,4639,615,442,365,4.2,952,633,0,0.442931589,0.557068411,125
F11-065,W-O,34.0176,-119.8559,991.4275509,17.5,21.6,14,7.6,489,14,56.2,1491.5,4640,614,443,365,4.2,952,633,0,0.269662252,0.730337748,165
F10-149,W-O,33.9795,-119.7597,4805.806477,17.3,21.1,13.9,7.2,469,14,58.2,1552.4,4568,638,398,365,3.4,949,632,0,0.517554408,0.482445592,148
F10-150,W-O,33.9795,-119.7597,4805.064003,17.3,21.1,13.9,7.2,469,14,58.2,1552.3,4568,638,398,365,3.4,949,632,0,0.517732404,0.482267596,148
F10-152,W-O,33.9795,-119.7597,4808.704029,17.3,21.1,13.9,7.2,469,14,58.2,1552.6,4567,638,398,365,3.4,949,632,0,0.518341608,0.481658392,148
F11-068,W-O,34.0039,-119.8021,460.6229197,17.8,21.8,14.2,7.6,515,15,54,1432.1,4745,562,469,365,5.2,928,604,0,0.495661327,0.504338673,235
F10-082,W-O,34.0018,-119.8016,609.0547345,17.8,21.8,14.2,7.6,514,15,54.1,1436.7,4746,561,469,365,5.2,928,604,0,0.435098462,0.564901538,79
F11-083,W-O,33.9773,-119.7732,4178.540678,17.3,21.1,13.9,7.2,468,13,58.3,1564.6,4553,647,393,365,3.2,950,634,0,0.423295324,0.576704676,136
F09-011,C-O,33.975,-119.7227,4952.424284,17.2,20.9,13.8,7.1,451,13,60.3,1623.7,4502,673,375,365,2.6,965,652,0,0.576394503,0.423605497,202
F09-118,C-O,33.9936,-119.7155,2775.681608,17.6,21.4,14.2,7.2,473,14,58.4,1535,4657,588,427,365,4.1,952,634,0,0.350824299,0.649175701,185
F09-119,C-O,33.9941,-119.7155,2726.162551,17.6,21.4,14.2,7.2,474,14,58.2,1531.4,4662,586,428,365,4.1,952,634,0,0.280278156,0.719721844,229
F09-124,C-O,33.9757,-119.7272,5021.366671,17.2,20.9,13.8,7.1,453,13,60,1611,4512,668,378,365,2.7,963,650,0,0.408130495,0.591869505,85
F09-045,C-O,33.9731,-119.7228,5153.502885,17.1,20.8,13.7,7.1,448,13,60.5,1631.4,4486,682,370,365,2.5,967,655,0,0.637676985,0.362323015,108
F09-046,C-O,33.9732,-119.7228,5139.600492,17.1,20.8,13.7,7.1,448,13,60.5,1630.4,4487,682,370,365,2.5,966,655,0,0.64102649,0.35897351,119
F09-048,C-O,33.973,-119.7229,5160.48398,17.1,20.8,13.7,7.1,448,13,60.5,1631.7,4486,682,370,365,2.5,967,655,0,0.63145854,0.36854146,142
F09-093,C-O,33.995,-119.722,2885.169859,17.6,21.5,14.2,7.3,479,14,57.6,1518.6,4673,581,433,365,4.3,947,628,0,0.39541218,0.60458782,199
F09-096,C-O,33.9738,-119.7256,5161.468374,17.1,20.9,13.7,7.2,450,13,60.2,1629.1,4495,677,373,365,2.6,965,653,0,0.490228589,0.509771411,194
F10-161,C-O,33.9763,-119.7255,4902.339933,17.2,20.9,13.8,7.1,453,13,60,1608.6,4516,666,380,365,2.8,963,650,0,0.467575731,0.532424269,242
F10-030,C-O,33.988,-119.717,3413.266523,17.5,21.3,14,7.3,467,14,58.9,1563.9,4610,614,411,365,3.6,956,640,0,0.643088258,0.356911742,142
F10-042,C-O,33.9697,-119.7276,5652.99602,17.1,20.8,13.6,7.2,444,13,61,1653.9,4462,696,362,365,2.2,968,657,0,0.31206314,0.68793686,234
F10-044,C-O,33.9688,-119.7405,6248.805984,17.1,20.8,13.7,7.1,446,13,60.8,1644.9,4468,693,364,365,2.3,965,655,0,0.896418341,0.103581659,195
F10-062,C-O,33.9758,-119.7231,4870.333471,17.2,20.9,13.8,7.1,452,13,60.2,1615.8,4510,669,378,365,2.7,964,651,0,0.481874987,0.518125013,185
F10-064,C-O,33.9759,-119.7231,4869.394531,17.2,20.9,13.8,7.1,452,13,60.2,1615.7,4510,669,378,365,2.7,964,651,0,0.481693847,0.518306153,185
F10-089,C-O,33.9958,-119.7164,2571.485169,17.7,21.5,14.2,7.3,477,14,58.1,1525,4677,579,434,365,4.3,950,631,0,0.16941096,0.83058904,181
F10-098,C-O,33.9749,-119.7269,5085.138085,17.2,20.9,13.8,7.1,452,13,60.2,1617.6,4506,671,376,365,2.7,964,651,0,0.383714213,0.616285787,160
F09-004,C-O,34.002,-119.7409,3329.992111,17.8,21.6,14.3,7.3,497,15,55.9,1453.5,4722,563,451,365,4.9,929,605,0,0.489753846,0.510246154,179
F09-074,C-O,33.9972,-119.7343,3261.337229,17.7,21.5,14.3,7.2,489,15,56.6,1476.7,4700,571,442,365,4.6,937,615,0,0.643730719,0.356269281,55
F10-012,C-O,33.9989,-119.7342,3110.245406,17.8,21.6,14.3,7.3,492,15,56.5,1471.3,4714,565,448,365,4.8,935,612,0,0.574959115,0.425040885,167
F10-154,C-O,33.9984,-119.7318,3006.931716,17.7,21.6,14.3,7.3,490,15,56.5,1480.3,4709,567,445,365,4.7,937,615,0,0.437169992,0.562830008,166
F10-156,C-O,33.999,-119.734,3087.307521,17.8,21.6,14.3,7.3,492,15,56.5,1472.5,4715,565,448,365,4.8,935,612,0,0.566548629,0.433451371,129
F10-167,C-O,34.0031,-119.7398,3169.993393,17.8,21.6,14.3,7.3,496,15,56,1458.5,4718,564,449,365,4.9,930,607,0,0.429391107,0.570608893,237
F10-169,C-O,34.0031,-119.7398,3169.993393,17.8,21.6,14.3,7.3,496,15,56,1458.5,4718,564,449,365,4.9,930,607,0,0.429391107,0.570608893,237
F10-177,C-O,34.0001,-119.7375,3225.742068,17.8,21.6,14.3,7.3,496,15,56,1457.9,4725,561,452,365,4.9,931,607,0,0.52980586,0.47019414,174
F10-022,C-O,33.9955,-119.7285,3113.188333,17.7,21.5,14.2,7.3,483,14,57.3,1500.5,4682,578,436,365,4.4,942,622,0,0.554020805,0.445979195,220
F10-025,C-O,33.9955,-119.7286,3114.559339,17.7,21.5,14.2,7.3,483,14,57.3,1500.6,4682,578,436,365,4.4,942,622,0,0.555744774,0.444255226,220
F10-028,C-O,33.9955,-119.7286,3114.559339,17.7,21.5,14.2,7.3,483,14,57.3,1500.6,4682,578,436,365,4.4,942,622,0,0.555744774,0.444255226,220
F10-041,C-O,33.9992,-119.7368,3252.110491,17.8,21.6,14.3,7.3,494,15,56.3,1465,4718,564,449,365,4.8,933,609,0,0.580868831,0.419131169,180
F10-076,C-O,34.001,-119.74,3334.841038,17.8,21.6,14.3,7.3,497,15,55.9,1453.8,4724,562,451,365,4.9,930,606,0,0.539478506,0.460521494,156
F10-077,C-O,34.001,-119.74,3334.841038,17.8,21.6,14.3,7.3,497,15,55.9,1453.8,4724,562,451,365,4.9,930,606,0,0.539478506,0.460521494,156
F10-078,C-O,34.001,-119.74,3334.841038,17.8,21.6,14.3,7.3,497,15,55.9,1453.8,4724,562,451,365,4.9,930,606,0,0.539478506,0.460521494,156
F10-086,C-O,34.0016,-119.735,2948.832875,17.8,21.6,14.3,7.3,494,15,56.3,1467.1,4719,563,449,365,4.8,933,610,0,0.517244558,0.482755442,122
F10-087,C-O,34.0016,-119.735,2948.832875,17.8,21.6,14.3,7.3,494,15,56.3,1467.1,4719,563,449,365,4.8,933,610,0,0.517244558,0.482755442,122
F11-163,C-O,33.9956,-119.7288,3113.72649,17.7,21.5,14.2,7.3,484,14,57.2,1499.3,4683,578,436,365,4.4,942,621,0,0.555010937,0.444989063,189
F11-164,C-O,33.9956,-119.7288,3113.72649,17.7,21.5,14.2,7.3,484,14,57.2,1499.3,4683,578,436,365,4.4,942,621,0,0.555010937,0.444989063,189
F09-023,C-O,33.988,-119.6767,3422.841126,17.5,21.3,14.1,7.2,477,14,57.7,1515.4,4638,597,418,365,3.8,960,640,0,0.227784096,0.772215904,154
F09-024,C-O,33.988,-119.6767,3422.841126,17.5,21.3,14.1,7.2,477,14,57.7,1515.4,4638,597,418,365,3.8,960,640,0,0.227784096,0.772215904,154
F09-082,C-O,34.0088,-119.689,858.0300286,17.7,21.5,14.2,7.3,477,14,58.1,1532.6,4679,577,432,365,4.4,951,632,0,0.692605746,0.307394254,239
F10-013,C-O,34.0174,-119.6835,566.3707035,17.5,21.3,14.2,7.1,466,13,59,1578,4637,596,417,365,4,955,639,0,0.331822211,0.668177789,170
F10-138,C-O,34.0179,-119.6828,625.4772194,17.5,21.3,14.1,7.2,466,13,59,1581.4,4635,597,416,365,4,955,640,0,0.290723605,0.709276395,186
F10-014,C-O,34.0175,-119.6833,580.7723434,17.5,21.3,14.2,7.1,466,13,59,1578.6,4637,596,417,365,4,955,639,0,0.321904264,0.678095736,145
F11-087,C-O,33.9989,-119.6826,2095.40391,17.8,21.6,14.3,7.3,492,15,56.5,1463.3,4720,561,447,365,4.7,949,624,0,0.566972456,0.433027544,109
F11-118,C-O,33.987,-119.6884,3240.399724,17.5,21.3,14.1,7.2,470,14,58.5,1547.4,4616,609,412,365,3.6,962,643,0,0.869688042,0.130311958,125
F11-133,C-O,34.0174,-119.6836,558.7829968,17.5,21.3,14.2,7.1,466,13,59,1577.9,4637,596,417,365,4,955,639,0,0.339418751,0.660581249,168
F09-010,C-O,33.9711,-119.7221,5343.795449,17.1,20.8,13.7,7.1,445,13,60.9,1649.1,4469,692,364,365,2.3,968,657,0,0.377987249,0.622012751,242
F09-115,C-O,33.9766,-119.7168,4619.176788,17.2,20.9,13.8,7.1,451,13,60.3,1619.8,4511,668,378,365,2.7,966,653,0,0.639368328,0.360631672,171
F09-027,C-O,33.9741,-119.7179,4914.870223,17.1,20.9,13.7,7.2,448,13,60.5,1638.3,4490,680,371,365,2.5,967,655,0,0.63794849,0.36205151,145
F09-044,C-O,33.9772,-119.7189,4605.318512,17.2,20.9,13.8,7.1,453,13,60,1611.4,4518,664,380,365,2.8,964,651,0,0.605450051,0.394549949,135
F09-047,C-O,33.9743,-119.7218,4992.811447,17.1,20.9,13.7,7.2,449,13,60.4,1630.1,4496,677,373,365,2.6,966,654,0,0.685909924,0.314090076,186
F10-162,C-O,33.9764,-119.7201,4722.536469,17.2,20.9,13.8,7.1,452,13,60.2,1616.1,4512,668,378,365,2.7,965,652,0,0.610452121,0.389547879,207
F10-163,C-O,33.9765,-119.72,4716.546614,17.2,20.9,13.8,7.1,452,13,60.2,1615.6,4513,667,378,365,2.7,965,652,0,0.605880757,0.394119243,181
F10-165,C-O,33.9765,-119.72,4714.327553,17.2,20.9,13.8,7.1,452,13,60.2,1615.5,4513,667,379,365,2.7,965,652,0,0.604458494,0.395541506,181
F10-166,C-O,33.9765,-119.72,4713.384878,17.2,20.9,13.8,7.1,452,13,60.2,1615.4,4513,667,379,365,2.7,965,652,0,0.603587843,0.396412157,181
F10-031,C-O,33.9867,-119.7136,3460.673286,17.4,21.2,14,7.2,463,13,59.2,1572.4,4596,621,406,365,3.5,959,644,0,0.524734407,0.475265593,177
F10-033,C-O,33.9868,-119.7104,3390.237253,17.4,21.2,14,7.2,462,13,59.3,1578.4,4594,622,405,365,3.5,961,645,0,0.624293522,0.375706478,76
F10-065,C-O,33.9765,-119.7179,4653.18873,17.2,20.9,13.8,7.1,451,13,60.3,1618.5,4511,668,378,365,2.7,965,653,0,0.660452584,0.339547416,194
F10-066,C-O,33.9766,-119.718,4650.917102,17.2,20.9,13.8,7.1,451,13,60.3,1618.2,4512,668,378,365,2.7,965,653,0,0.657927498,0.342072502,193
F11-017,C-O,33.9872,-119.7139,3415.672848,17.4,21.2,14,7.2,464,14,59.1,1568.6,4600,619,407,365,3.5,959,643,0,0.588992468,0.411007532,196
F11-070,E-P,34.0164,-119.6037,0,17.5,21.4,14,7.4,469,13,58.6,1645.6,4623,607,423,365,3.8,955,642,0.177530269,0.583185019,0.239284712,175
F09-132,E-P,34.0002,-119.6236,166.7765647,17.8,21.7,14.3,7.4,505,14,55,1524,4743,554,456,365,4.1,948,630,0.027303804,0.470845449,0.501850747,72
F11-077,E-P,34.0021,-119.6233,10.35370425,17.8,21.7,14.3,7.4,501,14,55.5,1538.9,4735,557,453,365,4.1,949,630,0.03751912,0.422691223,0.539789657,152
F11-141,E-P,34.0022,-119.6243,63.6519355,17.8,21.7,14.3,7.4,501,14,55.5,1536.3,4737,556,454,365,4.1,949,630,0.03751912,0.452302125,0.510178755,185
F09-069,E-P,34.0011,-119.6186,0,17.8,21.7,14.3,7.4,499,14,55.7,1546.6,4726,561,452,365,4.1,949,631,0.116930087,0.460870582,0.42219933,231
F09-086,E-P,34.0003,-119.615,42.29753878,17.8,21.6,14.2,7.4,497,14,55.9,1545.8,4721,564,451,365,4.1,949,631,0.123835147,0.445415512,0.430749341,83
F09-138,E-P,33.9915,-119.6009,242.0649642,17.5,21.4,14,7.4,471,13,58.4,1615.6,4625,606,422,365,3.7,956,641,0.015206659,0.381535084,0.603258257,143
F09-139,E-P,33.9913,-119.6024,260.4559977,17.5,21.4,14,7.4,472,13,58.3,1612.5,4627,604,422,365,3.6,956,641,0.025426401,0.312445283,0.662128316,140
F09-141,E-P,33.9913,-119.6024,262.3970884,17.5,21.4,14,7.4,472,13,58.3,1612.6,4627,604,422,365,3.6,956,641,0.024958954,0.31140818,0.663632866,140
F11-067,W-P,34.0172,-119.8314,0,17.8,21.8,14.1,7.7,515,15,54,1419.5,4728,576,474,365,5,939,615,0.103068767,0.692876627,0.204054606,220
F11-122,W-P,34.017,-119.83,60.05276268,17.8,21.8,14.1,7.7,515,15,54,1419.3,4728,576,473,365,5,939,615,0.054745736,0.760219754,0.185034511,183
F09-035,W-P,34.0162,-119.8068,0,17.8,21.8,14.2,7.6,521,16,53.4,1404.7,4741,567,471,365,5.2,931,606,0.358816361,0.331617515,0.309566124,246
F09-064,W-P,34.0165,-119.806,0,17.8,21.8,14.2,7.6,521,16,53.4,1403.4,4741,567,471,365,5.2,931,605,0.342656575,0.283991841,0.373351584,159
F09-065,W-P,34.0165,-119.806,0,17.8,21.8,14.2,7.6,521,16,53.4,1403.5,4741,567,471,365,5.2,931,605,0.345080944,0.285860089,0.369058967,159
F10-053,W-P,34.0167,-119.8101,0,17.8,21.8,14.2,7.6,520,16,53.5,1405.9,4739,568,472,365,5.2,932,607,0.299180664,0.350798543,0.350020793,188
F11-060,W-P,34.0167,-119.8123,9.594364821,17.8,21.8,14.2,7.6,519,15,53.6,1407.4,4738,569,472,365,5.1,933,608,0.29836742,0.395568273,0.306064307,222
