tissue_number,species,project,aluminum_band,color_band,color_ba_1,color_ba_2,sex,age,date_banded,year,plot,habitat,closest.pine,distance,POP,longitude_,latitude__,gps_certai,distance_t,pine_plot,pedigree_i,bled,blood_hema,blood_plas,blood_whol,feather_,slide,freezer_st,freezer__1,freezer__2,freezer__3,dry_storag,dry_stor_1,dry_stor_2,bill_depth,bill_lengt,bill_len_1,bill_width,mass,tarsus1,tarsus2,wing_left,wing_right,tail,notes,banders
F11-088,ISSJ,ISSJ,1783-24865,UGB,AO,"UGB,AO",M,AHY,10/24/2011,2011,SZ Off-plot,Oak,China,3665.500232,E-O,262474,3769479,Trap Setup,3666,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.51,34.34,25.58,8.89,128,47.02,NA,NA,138,157.5,PESOLA; WITH UB FEMALE; REMEMBERED PEANUTS FROM LAST YEAR; MIST NET,KL
F11-090,ISSJ,ISSJ,1713-24902,OGW,AO,"OGW,AO",M,AHY,10/26/2011,2011,SZ Off-plot,Oak,China,3333.0979,E-O,261775,3769723,Trap Setup,3333,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.17,33.29,24.74,9.23,120,45.89,NA,NA,140,161,PESOLA; MIST NET; PAIRED WITH RBW/AO,KL
F11-093,ISSJ,ISSJ,1703-24635,OBO,AO,"OBO,AO",M,AHY,10/26/2011,2011,SZ Off-plot,Oak,China,3211.905293,E-O,261686,3769640,Trap Setup,3212,NA,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_12,NA,NA,NA,NA,NA,9.85,32.9,24.46,9.43,122,47.34,NA,NA,139.5,156.5,PESOLA; HAS UB FEMALE,KL
F11-095,ISSJ,ISSJ,1783-24868,WGU,AO,"WGU,AO",M,AHY,10/26/2011,2011,SZ Off-plot,Oak,China,3190.742878,E-O,261553,3769725,Trap Setup,3191,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.21,34.06,25.51,9.19,124,47.36,NA,NA,137,151,PESOLA; POSSIBLY TERRITORIAL MALE,KL
F09-105,ISSJ,ISSJ,1363-74583,UGU,AU,"UGU,AU",M,AHY,10/31/2009,2009,SZ Off-plot,Oak,China,1808.054451,E-O,256142,3764580,Trap Setup,1808,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.11,34,25,9.42,117.99,47.01,47.03,NA,137,149,LOWER MANDIBLE LONGER THAN UPPER,KL
F09-136,ISSJ,ISSJ,1583-92720,OOK,AU,"OOK,AU",?,AHY,11/13/2009,2009,SZ Off-plot,Oak,China,785.7548394,E-O,257274,3764808,Trap Setup,786,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.7,35.02,25.6,9.74,123.14,47.71,47.84,NA,143.5,156,NA,KL
F11-071,ISSJ,ISSJ,1783-24856,GPG,AU,"GPG,AU",?,AHY,10/13/2011,2011,SZ Off-plot,Oak,China,2655.959666,E-O,255117,3766550,Trap Setup,2656,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.06,34.21,26.29,9.02,125.96,48.32,NA,NA,141,163.5,SEEMED TO BE TERRITORIAL MALE,KL
F11-072,ISSJ,ISSJ,1783-24857,PRP,AU,"PRP,AU",?,AHY,10/13/2011,2011,SZ Off-plot,Oak,China,2655.959666,E-O,255117,3766550,Trap Setup,2656,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,9.75,35.09,26.15,9.15,120.44,47.69,NA,NA,136,158,NA,KL
F11-142,ISSJ,ISSJ,1783-24888,KOG,AU,"KOG,AU",M,AHY,11/28/2011,2011,SZ Off-plot,Oak,China,1672.700124,E-O,256173,3764802,Trap Setup,1673,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.07,34.35,26.2,8.8,121.93,47.9,NA,NA,140,161,WITH UB FEMALE,KL
F11-146,ISSJ,ISSJ,1783-24891,YYK,AU,"YYK,AU",M,AHY,11/29/2011,2011,SZ Off-plot,Oak,China,1156.38104,E-O,256710,3764900,Trap Setup,1156,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.23,35.12,26.23,8.79,114.06,47.68,NA,NA,138.5,155,PAIRED WITH RKW/AU,KL
F11-147,ISSJ,ISSJ,1783-24892,YRO,AU,"YRO,AU",M,AHY,11/29/2011,2011,SZ Off-plot,Oak,China,1769.985416,E-O,255936,3765092,Trap Setup,1770,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,9.9,34.32,26.38,8.93,108.93,47.39,NA,NA,139,155,PAIRED WITH KBW/AU,KL
F11-150,ISSJ,ISSJ,1703-64648,WYG,AU,"WYG,AU",?,AHY,11/29/2011,2011,SZ Off-plot,Oak,China,1508.338391,E-O,256437,3764671,Trap Setup,1508,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.03,33.67,26.22,8.86,119.43,46.77,NA,NA,137,152,APPEARED TO BE TERRITORIAL MALE,KL
F11-003,ISSJ,ISSJ,1783-24831,WOR,AK,"WOR,AK",?,AHY,9/13/2011,2011,SZ Off-plot,Oak,Christie,2858.505155,W-O,239639,3770774,Trap Setup,2859,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,11.08,35.57,26.83,9.47,132,47.65,NA,NA,140,155,PESOLA; MIST NET,KL
F11-005,ISSJ,ISSJ,1783-24832,GOP,AK,"GOP,AK",?,AHY,9/13/2011,2011,SZ Off-plot,Oak,Christie,2873.296692,W-O,239644,3770789,Trap Setup,2873,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.59,33.6,25.12,9.43,134,46.44,NA,NA,141,160,PESOLA; MIST NET,KL
F11-006,ISSJ,ISSJ,1783-24833,KOR,AK,"KOR,AK",M,AHY,9/13/2011,2011,SZ Off-plot,Oak,Christie,2881.516458,W-O,239579,3770794,Trap Setup,2882,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.52,34.29,26.34,9.28,124,47.35,NA,NA,139,153,PESOLA,KL
F09-091,ISSJ,ISSJ,1363-74577,UBK,AK,"UBK,AK",M,AHY,10/24/2009,2009,SZ Off-plot,Oak,Christie,1763.542189,W-O,241059,3769305,Trap Setup,1764,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.52,35.53,26.64,9.71,121.15,47.13,47.26,NA,139,NA,NA,KL
F09-100,ISSJ,ISSJ,1603-79347,WOO,AP,"WOO,AP",?,AHY,10/30/2009,2009,SZ PZ,Oak,Christie,3406.818736,W-O,245322,3766026,Trap Setup,3407,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.58,32.79,25.51,9.3,NA,47.42,47.74,NA,138,151,SMALL PATCH OF MISSING FEATHERS ON HEAD; SCALE NOT WORKING,KL
F09-026,ISSJ,ISSJ,1833-00609,PYU,AP,"PYU,AP",?,AHY,9/21/2009,2009,SZ PZ,Oak,Christie,2943.908924,W-O,244864,3766118,Trap Setup,2944,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.44,33.56,24.21,9.21,120.18,46.36,46.52,NA,132.5,NA,NA,KL
F09-039,ISSJ,ISSJ,1603-79330,OBP,AP,"OBP,AP",M,AHY,9/28/2009,2009,SZ PZ,Oak,Christie,3457.713009,W-O,245491,3766472,Trap Setup,3057,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.44,33.96,25.26,9.11,118.39,47.17,47.3,NA,136.5,NA,NA,KL
F09-040,ISSJ,ISSJ,1363-74555,OKR,AP,"OKR,AP",?,AHY,9/28/2009,2009,SZ PZ,Oak,Christie,3457.713009,W-O,245491,3766472,Trap Setup,3057,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.31,34.22,25.99,10,124.19,47.42,47.42,NA,137,NA,NA,KL
F09-053,ISSJ,ISSJ,1583-92704,WYW,AP,"WYW,AP",M,AHY,10/3/2009,2009,SZ PZ,Oak,Christie,3069.087073,W-O,245113,3766565,Trap Setup,3069,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.35,36.02,26.13,9.16,122.52,47.51,47.52,NA,139,NA,NA,KL
F10-105,ISSJ,ISSJ,1603-78756,GYY,AB,"GYY,AB",M,AHY,10/29/2010,2010,SZ Off-plot,Oak,Christie,4009.6246,W-O,244769,3764120,Trap Setup,4010,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.41,34.46,24.99,9.3,121.4,47.45,NA,NA,139,157,SEEMED TO BE PAIRED WITH OPK/AB,KL
F10-106,ISSJ,ISSJ,1783-24653,YWW,AB,"YWW,AB",?,AHY,10/29/2010,2010,SZ Off-plot,Oak,Christie,4665.715984,W-O,245009,3763463,Trap Setup,4666,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.19,34.98,25.27,9.13,115.15,46.66,NA,NA,135,152,NA,KL
F10-119,ISSJ,ISSJ,1363-74542,BGP,AP,"BPG,AP",M,ASY,11/6/2010,2010,SZ PZ,Oak,Christie,2876.151172,W-O,244856,3766314,Trap Setup,2876,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.43,32.82,24.59,9.34,125.36,47.29,NA,NA,141,160,NA,KL
F10-120,ISSJ,ISSJ,1833-00513,YYU,AP,"YYU,AP",M,ASY,11/6/2010,2010,SZ PZ,Oak,Christie,2871.197941,W-O,244852,3766318,Trap Setup,2871,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.25,34.26,26.71,9.36,122.73,47.89,NA,NA,138,155.5,caught in mist-net; cross-bill (see photos); two bare patches back of head,KL
F10-126,ISSJ,ISSJ,1603-79270,KWW,AP,"KWW,AP",M,ASY,11/10/2010,2010,SZ PZ,Oak,Christie,3316.397407,W-O,245394,3766790,Trap Setup,2874,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.25,35.3,26.78,9.25,119.5,46.34,NA,NA,137.5,155,replaced white bands; caught in mist-net,KL
F10-170,ISSJ,ISSJ,1363-74502,GOW,AP,"GOW,AP",M,ASY,12/1/2010,2010,SZ PZ,Oak,Christie,3212.880502,W-O,245178.9116,3766218.506,Estimate,3213,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.41,34.23,24.89,9.57,127.02,46.54,NA,NA,138,NA,mist net; bands look good,KL
F10-172,ISSJ,ISSJ,1603-79171,WGG,AP,"WGG,AP",M,ASY,12/1/2010,2010,SZ PZ,Oak,Christie,3128.648948,W-O,245111,3766288,Trap Setup,3129,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.22,32.95,25.35,9.13,123.1,46.74,NA,NA,141,158.5,mist net; W/AP when caught (re-banded original combo WGG/AP),KL
F10-175,ISSJ,ISSJ,1783-24679,YPW,AP,"YPW,AP",M,AHY,12/1/2010,2010,SZ PZ,Oak,Christie,3130.14228,W-O,245112,3766286,Trap Setup,3130,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.39,33.3,25.4,9.13,116.47,46.58,NA,NA,139.5,157,MIST NET; POSSIBLY TERRITORIAL IN AREA FORMERLY USED BY RAIDERS PAIR (PAIRED WITH PRU/AP?),KL
F10-060,ISSJ,ISSJ,1783-24639,PUY,AP,"PUY,AP",M,AHY,10/10/2010,2010,SZ Off-plot,Oak,Christie,1294.351831,W-O,243378,3766955,Trap Setup,1294,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_5,NA,NA,NA,NA,NA,10.37,34.13,25.52,9.7,119.76,47.51,NA,NA,136,NA,probably male of territorial pair,KL
F11-007,ISSJ,ISSJ,1703-64614,PPB,AK,"PPB,AK",M,AHY,9/14/2011,2011,SZ Off-plot,Oak,Christie,3148.2669,W-O,243910,3769860,Trap Setup,2495,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.32,34.86,25.91,9.28,126,48.1,NA,NA,139,157.5,PESOLA; HAD FEMALE WITH HIM,KL
F11-009,ISSJ,ISSJ,1783-24834,NA,AK,"-,AK",M,AHY,9/14/2011,2011,SZ Off-plot,Oak,Christie,3257.652103,W-O,243783,3770077,Trap Setup,2558,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.84,34.84,26.17,9.17,NA,46.47,NA,NA,141.5,156,"MIST NET; HELICOPTER ARRIVAL IMMINENT SO DIDN'T FULLY BAND, ETC.",KL
F11-018,ISSJ,ISSJ,1703-64617,WRG,AP,"WRG,AP",M,AHY,9/26/2011,2011,SZ Off-plot,Oak,Christie,2176.839991,W-O,244198,3766558,Trap Setup,2177,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.53,33.82,26.03,9.11,123.66,47.32,NA,NA,141,159,MIST NET; WITH UB FEMALE,KL
F11-021,ISSJ,ISSJ,1703-64618,GWW,AP,"GWW,AP",M,AHY,9/26/2011,2011,SZ Off-plot,Oak,Christie,1320.036704,W-O,243404,3766956,Trap Setup,1320,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.17,33.26,24.93,8.95,119.23,47.25,NA,NA,140,158,WITH UB FEMALE,KL
F11-050,ISSJ,ISSJ,1783-24845,GGP,AP,"GGP,AP",M,AHY,9/30/2011,2011,SZ PZ,Oak,Christie,3217.923399,W-O,245109,3765990,Trap Setup,3218,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.28,35.04,26.52,9,120.05,47.19,NA,NA,139.5,161,MIST NET; APPEARS TO HAVE NEIGHBOURING TERRITORY TO GUINNESS,KL
F11-081,ISSJ,ISSJ,1783-24862,RWK,AB,"RWK,AB",M,AHY,10/16/2011,2011,SZ Off-plot,Oak,Christie,3903.857949,W-O,244986,3764486,Trap Setup,3904,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10,33.9,25.58,9.04,128.35,47,NA,NA,139.5,158,MIST NET; SEEMED TO BE PAIRED WITH KKP/AB,KL
F11-085,ISSJ,ISSJ,1603-79372,AP,KWK,"AP,KWK",?,SY,10/16/2011,2011,SZ Off-plot,Oak,Christie,2776.189714,W-O,244545,3765808,Trap Setup,2776,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.32,33.66,25.25,9.03,118.7,46.89,NA,NA,139,159,NA,KL
F11-115,ISSJ,ISSJ,1783-24880,UUG,AP,"UUG,AP",M,AHY,11/7/2011,2011,SZ PZ,Oak,Christie,1106.212678,W-O,243199,3767071,Trap Setup,1106,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.55,34.46,26.44,8.94,123.33,47.14,NA,NA,140,160,PAIRED WITH YWK/AP,KL
F11-154,ISSJ,ISSJ,1833-00687,RUY,AP,"RUY,AP",M,ASY,12/2/2011,2011,SZ PZ,Oak,Christie,3320.784263,W-O,245395,3766757,Trap Setup,2898,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,9.84,31.84,24.57,9.04,122.09,46.94,NA,NA,136.5,156,MIST NET; REPLACED ALL COLOUR BANDS,KL
F11-156,ISSJ,ISSJ,1783-24895,PRY,AP,"PRY,AP",M,AHY,12/2/2011,2011,SZ PZ,Oak,Christie,3233.568158,W-O,245309,3766773,Trap Setup,2944,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.11,33.55,25.5,9.33,120.05,48.03,NA,NA,138,NA,NA,KL
F09-111,ISSJ,ISSJ,1603-79352,RBY,AW,"RBY,AW",?,AHY,11/3/2009,2009,SZ Off-plot,Oak,Christie,2230.747538,W-O,235116,3768272,Trap Setup,1594,NA,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.26,32.71,24.37,9.58,123.08,48.15,48.01,NA,132,147,NA,KL
F09-033,ISSJ,ISSJ,1603-79326,YWU,AW,"YWU,AW",M,AHY,9/25/2009,2009,SZ Off-plot,Oak,Christie,2300.234356,W-O,234951,3768097,Trap Setup,1381,NA,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.55,31.33,24.06,9.48,124.48,46.38,46.47,NA,140.5,NA,NA,KL
F09-036,ISSJ,ISSJ,1363-74553,BOK,AW,"BOK,AW",M,AHY,9/27/2009,2009,SZ Off-plot,Oak,Christie,893.4390761,W-O,236262,3767580,Trap Setup,893,NA,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.37,34.07,24.83,9.08,116.6,46.39,46.35,NA,137,NA,"WINDY SO WEIGHT TO 0.1G; BACCHARUS/FENNEL HABITAT; WBU/AW RATTLED AT THIS BIRD AND ONLY 2 AROUND, SO PROBABLY MALE; ADDITIONAL NOTE: BOK LATER SEEN AT SAME SPOT ~2 WKS LATER",KL
F11-065,ISSJ,ISSJ,1703-64630,KRB,AW,"KRB,AW",M,AHY,10/9/2011,2011,SZ Off-plot,Oak,Christie,991.4275509,W-O,236274,3767782,Trap Setup,991,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.32,34.08,25.8,9.27,123.12,47.64,NA,NA,139,157,TERRITORIAL MALE WITH UB BIRD,KL
F10-149,ISSJ,ISSJ,1783-24673,RYU,AB,"RYU,AB",?,AHY,11/22/2010,2010,SZ Off-plot,Oak,Christie,4805.806477,W-O,245051,3763315,Trap Setup,4806,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.21,35.5,26.45,8.97,116.5,47.18,NA,NA,141.5,159,NA,KL
F10-150,ISSJ,ISSJ,1783-24674,PPP,AB,"PPP,AB",?,AHY,11/22/2010,2010,SZ Off-plot,Oak,Christie,4805.064003,W-O,245051,3763316,Trap Setup,4805,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.27,33.26,24.64,9.42,120.44,45.73,NA,NA,139,159,NA,KL
F10-152,ISSJ,ISSJ,1783-24675,PWB,AB,"PWB,AB",?,AHY,11/22/2010,2010,SZ Off-plot,Oak,Christie,4808.704029,W-O,245052,3763312,Trap Setup,4809,NA,NA,Yes,No,No,Yes,Yes,No,blood_lysis buffer,CSU_Funk Freezer_1_W_6,NA,NA,NA,NA,NA,10.37,34.47,26.47,9.4,125.62,47.06,NA,NA,136.5,151,super hooked bill,KL
F11-068,ISSJ,ISSJ,1783-24855,PUB,AW,"PUB,AW",?,AHY,10/10/2011,2011,SZ Off-plot,Oak,Christie,460.6229197,W-O,241204,3766130,Trap Setup,461,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_10,NA,NA,NA,NA,NA,10.31,33.55,25.01,9.48,116.82,46.21,NA,NA,135.5,158,APPEARED TO BE MALE OF TERRITORIAL PAIR,KL
F10-082,ISSJ,ISSJ,1783-24645,PPU,AW,"PPU,AW",?,AHY,10/19/2010,2010,SZ Off-plot,Oak,Christie,609.0547345,W-O,241242,3765898,Trap Setup,609,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_5,NA,NA,NA,NA,NA,10.7,35.08,25.8,9.31,123.65,48.39,NA,NA,139.5,NA,PROBABLY TERRITORIAL MALE,KL
F11-083,ISSJ,ISSJ,1783-24863,WRK,AB,"WRK,AB",?,AHY,10/16/2011,2011,SZ Off-plot,Oak,Christie,4178.540678,W-O,243795,3763107,Trap Setup,4029,NA,NA,Yes,No,No,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_11,NA,NA,NA,NA,NA,10.28,32.99,23.94,9.38,122.37,45.69,NA,NA,138,158,NA,KL
F09-011,ISSJ,ISSJ,1583-92701,WOU,AY,"WOU,AY",M,AHY,9/13/2009,2009,SZ CPC,Oak,Pelican,4952.424284,C-O,248452.15,3762720.18,Estimate,4740,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.24,NA,NA,NA,140.5,NA,CALIPERS NOT WORKING BECAUSE OF MIST,KL
F09-118,ISSJ,ISSJ,1583-92718,GUB,AR,"GUB,AR",M,AHY,11/6/2009,2009,SZ Off-plot,Oak,Pelican,2775.681608,C-O,249179,3764772,Trap Setup,2572,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,11,33.95,25.32,9.43,124.15,49.26,49.35,NA,140,154.5,SEEMED TO BE TERRITORIAL MALE NEAR POOL,KL
F09-119,ISSJ,ISSJ,1363-74588,ROG,AR,"ROG,AR",?,AHY,11/6/2009,2009,SZ Off-plot,Oak,Pelican,2726.162551,C-O,249172,3764827,Trap Setup,2526,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,10.5,34,25.32,9.23,114.44,46.38,46.22,NA,137.5,151,NA,KL
F09-124,ISSJ,ISSJ,1603-79145,GUU,AY,"GUU,AY",M,ASY,11/8/2009,2009,SZ CPC,Oak,Pelican,5021.366671,C-O,248043,3762809,Trap Setup,4838,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_3,NA,NA,NA,NA,NA,9.83,35.55,26.26,9.05,116.5,48.25,48.38,NA,137,152,LIKELY TERRITORIAL; WOULD NOT BITE ON DOWEL FOR BILL PHOTOS,KL
F09-045,ISSJ,ISSJ,1363-74559,WGP,AY,"WGP,AY",M,AHY,9/29/2009,2009,SZ CPC,Oak,Pelican,5153.502885,C-O,248442,3762511,Trap Setup,4936,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.2,31.66,22.6,8.93,116.98,47.72,47.63,NA,141,NA,NA,KL
F09-046,ISSJ,ISSJ,1793-17824,UGG,AY,"UGG,AY",M,SY,9/29/2009,2009,SZ CPC,Oak,Pelican,5139.600492,C-O,248444,3762525,Trap Setup,4923,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.38,35.22,25.78,9.42,115.65,46.91,46.97,NA,139,NA,extensive injury to back of head due to pecking/dominance interactions (dime size),KL
F09-048,ISSJ,ISSJ,1363-74560,BOG,AY,"BOG,AY",?,AHY,9/29/2009,2009,SZ CPC,Oak,Pelican,5160.48398,C-O,248435,3762506,Trap Setup,4944,NA,NA,Yes,No,No,Yes,Yes,NA,blood_lysis buffer,CSU_Funk Freezer_1_W_2,NA,NA,NA,NA,NA,10.56,35.52,25.79,9.19,118.1,47.57,47.69,NA,135,NA,NA,KL
